id,purchase_order_id,canonical_line_key,synthetic_data_flag
bc1b72de-5c04-5c9e-a521-5dafe99d39ad,f793ba36-2e88-58a1-9080-44c283419b25,POL-00000001,true
3c7415da-2e3d-5d66-8de4-9ae45c8a5ef0,f793ba36-2e88-58a1-9080-44c283419b25,POL-00000002,true
c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42,4875aa72-2311-59d7-877f-b6e30c4d6ff6,POL-00000003,true
5f1ef0f1-e915-5eea-80fc-279e37c35736,4875aa72-2311-59d7-877f-b6e30c4d6ff6,POL-00000004,true
9bb31f47-5933-5c0b-96a9-a7cab9768925,4875aa72-2311-59d7-877f-b6e30c4d6ff6,POL-00000005,true
169c8472-68ac-5f94-a83e-4407991dbbed,d3b2c071-3c7a-5013-8805-8798f670fb50,POL-00000006,true
a6f46d12-2805-52d3-813c-4a7419e40b54,40a14704-a926-51cb-8357-51d52efdd60f,POL-00000007,true
6b9730b6-21eb-505f-a45d-9c57d3c86fc7,40a14704-a926-51cb-8357-51d52efdd60f,POL-00000008,true
79420c16-afb5-56df-a2b4-d93e71e71f5d,1a11e1ba-21aa-5a34-9990-3e3b511c3c2b,POL-00000009,true
a0a10f6d-12c8-5674-9741-c3731075b0f2,b23f6021-a5db-5e74-889a-3e92fd9b5b12,POL-00000010,true
3db4fcb7-69b2-5566-942b-e7d4c58dee1e,b23f6021-a5db-5e74-889a-3e92fd9b5b12,POL-00000011,true
34441233-560b-5b65-a286-5108f76a33ef,b23f6021-a5db-5e74-889a-3e92fd9b5b12,POL-00000012,true
25187d66-acb0-5687-9e42-b33e6a037e1c,b23f6021-a5db-5e74-889a-3e92fd9b5b12,POL-00000013,true
08744c8d-0e61-5f54-b4a6-d04b0ab974a6,b23f6021-a5db-5e74-889a-3e92fd9b5b12,POL-00000014,true
c5ca62a4-2f0f-5b33-806a-6be8fce15bf5,34809ba7-373d-5b1f-9dae-0b3ce60d2db8,POL-00000015,true
e05643b4-50bf-5570-ae8b-26fb0498c7ed,34809ba7-373d-5b1f-9dae-0b3ce60d2db8,POL-00000016,true
