id,source_load_id,product_id,site_id,snapshot_at,snapshot_version,on_hand_quantity,allocated_quantity,available_quantity,in_transit_quantity,corrects_snapshot_id,missing_signal_flag
72074c3f-6d0f-53dd-bba3-72a43d90e9e7,555a4030-3b19-5d0e-866c-a19367ed183c,809cf264-7def-5354-9470-0a2384ba5a22,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,230.6255,80.2464,150.3791,141.9842,,false
44e4c2e3-0357-5c54-9f94-39d7b4127457,555a4030-3b19-5d0e-866c-a19367ed183c,809cf264-7def-5354-9470-0a2384ba5a22,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,59.8725,17.6164,42.2561,116.5395,,false
9c29906c-38f8-5eb1-87bb-fe56f2e1f067,555a4030-3b19-5d0e-866c-a19367ed183c,a7d6c9e4-45c8-576f-87b5-1b26791e19d6,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,68.4503,33.4010,35.0493,78.7017,,false
cc5231d2-daa3-5a9e-87b6-b1ba7c36ab2a,555a4030-3b19-5d0e-866c-a19367ed183c,a7d6c9e4-45c8-576f-87b5-1b26791e19d6,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,172.7066,56.0488,116.6579,52.1024,,false
81046fb3-939c-5d0f-a8b8-a33459f4c0ca,555a4030-3b19-5d0e-866c-a19367ed183c,c893506d-df7e-55aa-9afa-b952b5e81a69,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,157.4936,61.2268,96.2668,78.0035,,false
58080fd7-fa7b-5ad5-9925-9a57e94c94eb,555a4030-3b19-5d0e-866c-a19367ed183c,c893506d-df7e-55aa-9afa-b952b5e81a69,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,68.8196,29.3186,39.5010,37.3181,,true
3d494723-2d9e-56d3-b469-b3a827ccd390,555a4030-3b19-5d0e-866c-a19367ed183c,fe8d9660-d333-56ab-a5ca-bb18ef310089,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,412.8080,172.9247,239.8833,286.6853,,false
ea7b618f-6027-5285-b615-a7672fb51b10,555a4030-3b19-5d0e-866c-a19367ed183c,fe8d9660-d333-56ab-a5ca-bb18ef310089,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,633.1030,60.6738,572.4292,125.5085,,false
c7933c14-13fe-5b89-9f91-7c6a56d86919,555a4030-3b19-5d0e-866c-a19367ed183c,83051d14-4fa3-53bd-ac60-523a406fc21f,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,379.5829,128.5444,251.0385,333.0502,,false
05c1e359-3d46-5b20-ba93-351ea236ee0d,555a4030-3b19-5d0e-866c-a19367ed183c,83051d14-4fa3-53bd-ac60-523a406fc21f,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,384.0941,32.3153,351.7788,319.1726,,false
158e6618-feae-5bf0-b82b-245de70eda54,555a4030-3b19-5d0e-866c-a19367ed183c,9de01ee7-8a99-53e4-9894-1eb2457782be,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,530.5606,177.5825,352.9781,273.7333,,false
456f8089-f854-5e92-a5a6-5ccac7d3617f,555a4030-3b19-5d0e-866c-a19367ed183c,9de01ee7-8a99-53e4-9894-1eb2457782be,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,180.5259,77.9230,102.6029,46.4706,,false
0b6cdb4f-a8a9-5664-807e-813703b74722,555a4030-3b19-5d0e-866c-a19367ed183c,0ddb5f45-3bf7-5460-a1dc-4b0097c4c8d6,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,281.4659,81.9415,199.5243,30.1873,,false
9a8d365b-8686-5e4a-a5f9-bbfdbf7ec309,555a4030-3b19-5d0e-866c-a19367ed183c,0ddb5f45-3bf7-5460-a1dc-4b0097c4c8d6,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,452.7640,238.4474,214.3165,58.5743,,false
527bd903-760e-5834-8b9b-a9e868b7ea26,555a4030-3b19-5d0e-866c-a19367ed183c,fadf08a0-1d4f-563b-bd91-b87b31f373eb,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,268.1070,92.8017,175.3054,78.8538,,false
7ad053cd-fcc5-581e-b3e7-3839fe333d70,555a4030-3b19-5d0e-866c-a19367ed183c,fadf08a0-1d4f-563b-bd91-b87b31f373eb,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,249.2149,129.0770,120.1379,22.2536,,false
33604b65-09a2-54fe-82ea-dd0ac85af06c,555a4030-3b19-5d0e-866c-a19367ed183c,f6f9c5be-111c-512f-b859-607b24323b36,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,424.9307,74.6926,350.2381,305.3587,,false
f5f20f03-6f62-585f-a5d6-c10647c9c28b,555a4030-3b19-5d0e-866c-a19367ed183c,f6f9c5be-111c-512f-b859-607b24323b36,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,384.2763,113.7841,270.4922,373.7447,,false
d27fb590-dced-5b1f-905d-f02dfeea72e9,555a4030-3b19-5d0e-866c-a19367ed183c,36da40b4-9e68-5588-9074-f6f8ee0422d2,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,218.1473,57.8956,160.2517,93.3764,,false
9eec0c5d-2d3a-5c58-a71b-4cfb9f950b89,555a4030-3b19-5d0e-866c-a19367ed183c,36da40b4-9e68-5588-9074-f6f8ee0422d2,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,297.2068,139.0538,158.1531,50.0219,,false
14937abf-65aa-5895-baad-b3db91ea0088,555a4030-3b19-5d0e-866c-a19367ed183c,f3239f2c-2ddf-5cd9-8fe5-d2d009ee11fc,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,156.3118,28.9587,127.3530,302.3532,,false
9ff27920-bbe5-5425-b38b-bcf2fa6d26dd,555a4030-3b19-5d0e-866c-a19367ed183c,f3239f2c-2ddf-5cd9-8fe5-d2d009ee11fc,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,890.1042,159.6955,730.4087,706.4612,,false
e3ae582d-d8e6-5cb4-8dff-dde3832413c7,555a4030-3b19-5d0e-866c-a19367ed183c,0856837c-6661-582a-8826-9267d93a18a5,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,1334.6309,686.6561,647.9747,484.4471,,false
b614a4a0-42f4-566f-bc8b-f83754136079,555a4030-3b19-5d0e-866c-a19367ed183c,0856837c-6661-582a-8826-9267d93a18a5,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,1286.6096,203.2885,1083.3211,23.2237,,false
322ae514-6606-5776-82fc-14925ff50992,555a4030-3b19-5d0e-866c-a19367ed183c,381d75e6-fb26-5f96-9820-6bdce61f0879,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,295.5103,128.6668,166.8436,166.1659,,false
4d1b9abb-a531-5df5-8205-375f3a79cc51,555a4030-3b19-5d0e-866c-a19367ed183c,381d75e6-fb26-5f96-9820-6bdce61f0879,cd80660b-3e07-58ef-88fb-4dfd4c14f755,2026-06-30T18:00:00+10:00,1,362.6937,63.7829,298.9107,144.4880,,false
7485ac11-0075-507f-b2bf-763ab316be86,555a4030-3b19-5d0e-866c-a19367ed183c,e6a7fc53-496a-5ae2-a882-4d4bf1223c4c,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,2026-06-30T18:00:00+10:00,1,861.7182,226.7883,634.9298,18.2323,,false
