id,purchase_order_id,source_load_id,supplier_id,amendment_version,buyer_group,currency_code,order_date,order_status,effective_at
efbc09a4-0d92-5db5-8f46-a878e67872c1,f793ba36-2e88-58a1-9080-44c283419b25,52daff6b-2e12-5836-9c79-9713f4d30b59,cc4ca321-02fa-50eb-8b86-5ba3c42b8ceb,1,BG-02,AUD,2025-11-13,closed,2025-11-13T09:00:00+10:00
2fa78e48-db89-59e5-b11c-b95c8b86ea2b,4875aa72-2311-59d7-877f-b6e30c4d6ff6,52daff6b-2e12-5836-9c79-9713f4d30b59,b019f662-4041-56d7-947a-ad0e19cbf3e5,1,BG-03,AUD,2025-02-15,closed,2025-02-15T09:00:00+10:00
dd047aa1-ef84-5977-8878-3c6fcb7a38b8,d3b2c071-3c7a-5013-8805-8798f670fb50,52daff6b-2e12-5836-9c79-9713f4d30b59,58bb201a-b67a-5aa2-81e1-29ab62d99704,1,BG-04,AUD,2025-12-24,closed,2025-12-24T09:00:00+10:00
9f97ce5d-17a0-5918-ad91-e587d16fc1c3,40a14704-a926-51cb-8357-51d52efdd60f,52daff6b-2e12-5836-9c79-9713f4d30b59,69943b6b-c286-5006-bfa5-bce4290c448f,1,BG-05,AUD,2024-10-21,closed,2024-10-21T09:00:00+10:00
b993c49b-881f-5175-bbc8-26884a4a35b7,1a11e1ba-21aa-5a34-9990-3e3b511c3c2b,52daff6b-2e12-5836-9c79-9713f4d30b59,69943b6b-c286-5006-bfa5-bce4290c448f,1,BG-06,AUD,2025-11-03,closed,2025-11-03T09:00:00+10:00
cdadb286-a133-54e1-b9fe-3cc56d52ef61,b23f6021-a5db-5e74-889a-3e92fd9b5b12,52daff6b-2e12-5836-9c79-9713f4d30b59,69943b6b-c286-5006-bfa5-bce4290c448f,1,BG-07,AUD,2025-03-20,closed,2025-03-20T09:00:00+10:00
ead576a8-8de9-5c01-be9f-910faa3c3a2f,34809ba7-373d-5b1f-9dae-0b3ce60d2db8,52daff6b-2e12-5836-9c79-9713f4d30b59,938a277e-f12b-5e70-8354-56b03a77ce45,1,BG-08,AUD,2025-06-05,closed,2025-06-05T09:00:00+10:00
6e73e063-c52c-563d-87be-7d074a4d4ee3,1e9c5bd9-e5df-57e6-bb78-0b3b6b648f0f,52daff6b-2e12-5836-9c79-9713f4d30b59,cc4ca321-02fa-50eb-8b86-5ba3c42b8ceb,1,BG-01,AUD,2025-06-02,closed,2025-06-02T09:00:00+10:00
8a59e8c4-4e2c-56b0-a79c-63cbfb28ebf7,da0e2aa9-919e-535c-896a-11f346b6c05b,52daff6b-2e12-5836-9c79-9713f4d30b59,8da861a0-52e8-5625-b430-3a22414d79fb,1,BG-02,AUD,2025-06-03,closed,2025-06-03T09:00:00+10:00
f46bd6ae-fd4a-5e81-99a6-c906063830ed,c5fc2e44-2aa7-5cee-b261-bb3db2691b8d,52daff6b-2e12-5836-9c79-9713f4d30b59,cc4ca321-02fa-50eb-8b86-5ba3c42b8ceb,1,BG-03,AUD,2026-03-28,closed,2026-03-28T09:00:00+10:00
e460c702-79e1-5629-8174-dda717b48f79,2274f736-e941-57b1-aa86-f8a49e7dabc4,52daff6b-2e12-5836-9c79-9713f4d30b59,8da861a0-52e8-5625-b430-3a22414d79fb,1,BG-04,AUD,2024-08-24,closed,2024-08-24T09:00:00+10:00
5dee07a0-ebc5-5f85-9e46-fe46cdea085b,21f9a97f-08db-514d-bba7-d2e58cca9448,52daff6b-2e12-5836-9c79-9713f4d30b59,bd21beb4-4051-594d-8000-d00192519578,1,BG-05,AUD,2025-11-13,closed,2025-11-13T09:00:00+10:00
69a00988-9994-5ab7-b66f-c061eee43304,2029517c-86b2-54de-b675-268914448c6f,52daff6b-2e12-5836-9c79-9713f4d30b59,6ab50693-de7e-5ce4-a00c-1129c9838c2f,1,BG-06,AUD,2024-12-26,closed,2024-12-26T09:00:00+10:00
c79d73b8-4413-544b-829a-4820e120833e,f8f74e83-d6df-5de1-ae3d-d427f21e1b44,52daff6b-2e12-5836-9c79-9713f4d30b59,4c9dd6bc-d4bf-53c9-872b-90b23ec8d5d5,1,BG-07,AUD,2024-08-16,closed,2024-08-16T09:00:00+10:00
f5d19127-01ca-5f0c-87ac-265833f0bed8,6b7388e2-f438-5dd9-92c6-72c71fe43fda,52daff6b-2e12-5836-9c79-9713f4d30b59,4bd49743-3f53-57b7-bbc5-6dab27206f37,1,BG-08,AUD,2025-03-05,closed,2025-03-05T09:00:00+10:00
dd9cda98-41a0-5f90-817a-158be537b975,621cb04e-e5c4-5410-8775-f6fe13f6bf0e,52daff6b-2e12-5836-9c79-9713f4d30b59,cc4ca321-02fa-50eb-8b86-5ba3c42b8ceb,1,BG-01,AUD,2025-09-29,closed,2025-09-29T09:00:00+10:00
0fc05204-31dc-50ad-8585-58c946ba9d1b,5b951ba1-33a9-5680-a64f-88aec4ac56be,52daff6b-2e12-5836-9c79-9713f4d30b59,4bd49743-3f53-57b7-bbc5-6dab27206f37,1,BG-02,AUD,2024-11-11,closed,2024-11-11T09:00:00+10:00
81ae0a56-a098-5d2f-9d45-e51681961d7d,53207493-7d11-549e-b25d-da7cf17a7017,52daff6b-2e12-5836-9c79-9713f4d30b59,4bd49743-3f53-57b7-bbc5-6dab27206f37,1,BG-03,AUD,2025-06-17,closed,2025-06-17T09:00:00+10:00
4a4f299a-80fc-5f5a-8ed5-ab84c3a56ba0,1fe40671-790b-5a79-b202-977187e7d09b,52daff6b-2e12-5836-9c79-9713f4d30b59,58bb201a-b67a-5aa2-81e1-29ab62d99704,1,BG-04,AUD,2024-12-14,closed,2024-12-14T09:00:00+10:00
f90741da-fb1e-51bc-b2d0-eb91be521d9f,0ba70863-3542-53c9-9108-f970955bdef9,52daff6b-2e12-5836-9c79-9713f4d30b59,c77963d8-1c44-520a-be00-9efc062d21d4,1,BG-05,AUD,2025-04-14,closed,2025-04-14T09:00:00+10:00
dda1a3fa-f2fc-50b5-acb3-e812602ceb8e,ac929c29-a5cd-5d26-8ab2-e1a9a694ad7c,52daff6b-2e12-5836-9c79-9713f4d30b59,bd21beb4-4051-594d-8000-d00192519578,1,BG-06,AUD,2024-10-20,closed,2024-10-20T09:00:00+10:00
483bc5c8-547c-5606-8e30-8aad89d60f75,dc7f2dc2-539d-5a92-98ea-b3506774ef08,52daff6b-2e12-5836-9c79-9713f4d30b59,69943b6b-c286-5006-bfa5-bce4290c448f,1,BG-07,AUD,2026-03-22,closed,2026-03-22T09:00:00+10:00
0691aa40-5ce0-594b-a9ec-140c8d2fdd98,3702cdf5-4182-5e94-b351-5b1bc374b923,52daff6b-2e12-5836-9c79-9713f4d30b59,4bd49743-3f53-57b7-bbc5-6dab27206f37,1,BG-08,AUD,2025-08-29,closed,2025-08-29T09:00:00+10:00
87f45295-02d4-51a7-a2e3-bd160e6e5def,7066352e-bb46-5084-83b4-5007e2120a49,52daff6b-2e12-5836-9c79-9713f4d30b59,8da861a0-52e8-5625-b430-3a22414d79fb,1,BG-01,AUD,2026-03-18,closed,2026-03-18T09:00:00+10:00
4d6144fc-d7d4-57a2-8c89-4f5943221746,197720a7-7c32-55ff-ada8-c0daf9925e7f,52daff6b-2e12-5836-9c79-9713f4d30b59,c77963d8-1c44-520a-be00-9efc062d21d4,1,BG-02,AUD,2026-01-16,closed,2026-01-16T09:00:00+10:00
6bd4b858-37c6-5fb7-8883-a8f7b55beb0a,d33eb42c-2fca-594a-b3ce-3ffe8de897f5,52daff6b-2e12-5836-9c79-9713f4d30b59,b019f662-4041-56d7-947a-ad0e19cbf3e5,1,BG-03,AUD,2025-10-09,closed,2025-10-09T09:00:00+10:00
5986ed56-a1ed-545d-bf80-2ea2c2aa923b,403ed1cf-b200-5aa4-8c11-972eac15c82f,52daff6b-2e12-5836-9c79-9713f4d30b59,4c9dd6bc-d4bf-53c9-872b-90b23ec8d5d5,1,BG-04,AUD,2024-11-14,closed,2024-11-14T09:00:00+10:00
65a28214-2e24-56ed-86f6-42026d9af830,06f1bbfa-9a98-5ae9-9443-c72b3336a904,52daff6b-2e12-5836-9c79-9713f4d30b59,938a277e-f12b-5e70-8354-56b03a77ce45,1,BG-05,AUD,2025-08-17,closed,2025-08-17T09:00:00+10:00
4545863c-a834-5cde-aad4-f53c2d6a9eb5,1f59362f-e7d7-553f-aaec-3946086f69cb,52daff6b-2e12-5836-9c79-9713f4d30b59,c77963d8-1c44-520a-be00-9efc062d21d4,1,BG-06,AUD,2024-09-25,closed,2024-09-25T09:00:00+10:00
95fd19a3-11fe-51cf-a38a-81a4a2122578,57a9b4f9-29f0-5d90-a426-e620d3bd13a1,52daff6b-2e12-5836-9c79-9713f4d30b59,8da861a0-52e8-5625-b430-3a22414d79fb,1,BG-07,AUD,2025-11-06,closed,2025-11-06T09:00:00+10:00
4b79caa4-8f17-5b97-81df-170fb5d8c4bc,7d479378-b423-5abd-88e3-8852581b314d,52daff6b-2e12-5836-9c79-9713f4d30b59,bd21beb4-4051-594d-8000-d00192519578,1,BG-08,AUD,2025-10-30,closed,2025-10-30T09:00:00+10:00
f79de57f-02b6-5611-a046-f49b06de963b,34938298-1e9b-5101-b198-5d9313c871b1,52daff6b-2e12-5836-9c79-9713f4d30b59,58bb201a-b67a-5aa2-81e1-29ab62d99704,1,BG-01,AUD,2024-08-22,closed,2024-08-22T09:00:00+10:00
62790fb6-4fc7-5c44-86d9-fd0461117d0a,7447b1af-e764-5022-92fb-b1a42525582d,52daff6b-2e12-5836-9c79-9713f4d30b59,f4263488-fb38-5a77-9b7d-bc1a9c185d5c,1,BG-02,AUD,2025-11-30,closed,2025-11-30T09:00:00+10:00
426e0d7a-012e-57b2-86c3-17c70643cc2a,a51025d3-32bd-55c2-bbb6-c9ad64145865,52daff6b-2e12-5836-9c79-9713f4d30b59,69943b6b-c286-5006-bfa5-bce4290c448f,1,BG-03,AUD,2025-04-05,closed,2025-04-05T09:00:00+10:00
f63958e0-171b-5974-b8bc-3ca48c7fb01c,917aa535-1ed3-5c97-a5c4-8f5fd3055c0a,52daff6b-2e12-5836-9c79-9713f4d30b59,6ab50693-de7e-5ce4-a00c-1129c9838c2f,1,BG-04,AUD,2025-09-13,closed,2025-09-13T09:00:00+10:00
c9707c51-c88e-5cac-99fd-a76821a25a12,7f0ac92f-cf39-5f8a-b377-d9b39b2663af,52daff6b-2e12-5836-9c79-9713f4d30b59,6ab50693-de7e-5ce4-a00c-1129c9838c2f,1,BG-05,AUD,2025-04-09,closed,2025-04-09T09:00:00+10:00
