scenario_id,canonical_line_key,scenario_type
f7fa42e3-02ed-5c3f-9dd4-bac6e4e176e0,POL-00000003,demand_shock
9f7993a5-8e41-5a73-aebb-922cc38f1e39,POL-00000008,split_schedule
b1d3b62c-1272-57ee-b639-785fa11a605b,POL-00000010,split_schedule
f0d8a5b9-cff2-5b01-94da-6c05f67a421e,POL-00000011,missing_supplier_signal
21a6ea2b-8786-5e0c-ae0b-7e8d16bf4f31,POL-00000011,split_schedule
f014c724-3882-5284-8fe6-db2ca6ac0f74,POL-00000014,demand_shock
651aa80e-cd35-59f5-a1ae-f63847890ce0,POL-00000016,missing_inventory_signal
ed9b8c7d-2e31-52df-bdc4-74c5717300b5,POL-00000017,missing_inventory_signal
82b5216c-1eab-590c-9834-32a05250f3c7,POL-00000024,supplier_deterioration
48d368d5-2563-58aa-95ee-27672f36b725,POL-00000025,demand_shock
cd1c4333-c040-5344-b4ac-47bb44946787,POL-00000025,split_schedule
b8b27154-1686-59f2-9cc5-e3cd4d8a56c1,POL-00000026,split_schedule
c19cadb1-5ccc-53d6-98ea-8d970700849e,POL-00000030,missing_inventory_signal
027e6d0c-80a6-5f84-82a1-90e2b3f64eee,POL-00000032,demand_shock
af3ae0ce-91ec-5771-8881-68d7bd79ef6a,POL-00000037,split_schedule
3a806afb-0ab9-5235-9981-067a564aff9a,POL-00000038,split_schedule
a66fcb18-2a40-5224-91e2-af6275bb0db0,POL-00000048,split_schedule
f6b66212-2c1d-5bb5-bd13-02db21a6c7ca,POL-00000050,missing_supplier_signal
26c64d8f-fb24-5a4a-90d3-9060b44deef5,POL-00000051,demand_shock
330924c0-a71e-5ceb-a4fb-023c1217eb55,POL-00000054,split_schedule
cb406eee-e71a-58f3-9a3d-f629cc926955,POL-00000057,missing_supplier_signal
8964d56d-1702-5191-9df7-14023e2e1e5c,POL-00000058,demand_shock
41ee4f90-f2a4-5a73-a1e2-f71ba583c666,POL-00000058,missing_supplier_signal
3a0e2db4-adf7-5f33-9659-d2a1e9af6cb5,POL-00000059,supplier_deterioration
82997d4c-0fd3-5dec-95f5-559fab4c8e80,POL-00000060,supplier_deterioration
bdba19ca-e63e-5485-89ba-5e1789d06922,POL-00000064,split_schedule
5fb50fd7-b0d2-5543-8698-399b4f8b5099,POL-00000065,split_schedule
aa52d56a-4289-5bd2-b460-1a0f9deea6e8,POL-00000066,demand_shock
f9b7419a-d261-544e-b526-3ea3f62bbddc,POL-00000067,demand_shock
af0c3e80-55cd-5dc7-8479-d23c442763a9,POL-00000071,missing_supplier_signal
eb53618d-a2b1-5537-bc77-47657fc911c5,POL-00000072,demand_shock
25696470-20e5-56fe-aa1b-99776191aa48,POL-00000073,split_schedule
066ea922-4197-565c-a5e8-198f34ba0710,POL-00000075,demand_shock
7ecdd3b1-3066-5251-ad57-3ff5a81a2b79,POL-00000075,supplier_deterioration
b54f142e-810e-577c-8931-2910084fb9fb,POL-00000075,missing_supplier_signal
d03bc8ee-57d5-5a50-997e-23bea692fb3e,POL-00000083,split_schedule
