id,source_system_id,source_load_id,po_line_id,receipt_document,receipt_item_sequence,transaction_type,source_quantity,source_uom,base_quantity,posted_at,corrects_receipt_id,late_receipt_flag,scenario_ids,scenario_types
300fba0c-99e4-5085-8c24-d18f85658332,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,bc1b72de-5c04-5c9e-a521-5dafe99d39ad,RCV-000000001,1,receipt,181.0000,EA,181.0000,2025-11-23T14:01:00+10:00,,false,,
57bf148c-af3b-5e16-bcec-70eb7c2ffd66,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,3c7415da-2e3d-5d66-8de4-9ae45c8a5ef0,RCV-000000002,1,receipt,5520.0000,EA,5520.0000,2024-11-22T14:01:00+10:00,,false,,
2335e91e-61c5-5779-a594-da9f82209d43,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42,RCV-000000003,1,receipt,2280.0000,EA,2280.0000,2025-04-17T14:01:00+10:00,,false,f7fa42e3-02ed-5c3f-9dd4-bac6e4e176e0,demand_shock
ee4a2251-6cc9-5188-accb-91e10452bbef,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42,RCV-000000004,1,receipt,2280.0000,EA,2280.0000,2025-04-14T14:02:00+10:00,,false,f7fa42e3-02ed-5c3f-9dd4-bac6e4e176e0,demand_shock
5ecbf4c3-3496-5461-8a70-8e048df78fa2,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42,RCV-000000005,1,receipt,2280.0000,EA,2280.0000,2025-04-17T14:03:00+10:00,,false,f7fa42e3-02ed-5c3f-9dd4-bac6e4e176e0,demand_shock
aa4f743c-d535-5ec6-be33-1db2c6fe536e,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,c1ebeff0-1d0a-5b64-9b59-2f1d15ff8f42,RCV-000000006,1,receipt,2280.0000,EA,2280.0000,2025-04-12T14:04:00+10:00,,false,f7fa42e3-02ed-5c3f-9dd4-bac6e4e176e0,demand_shock
e3bf5438-a78c-5b0e-9b62-bf28b4dc85c0,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,5f1ef0f1-e915-5eea-80fc-279e37c35736,RCV-000000007,1,receipt,75360.0000,EA,75360.0000,2026-04-04T14:01:00+10:00,,true,,
5f36e41e-7ad4-5117-b52e-d5487868afc2,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,9bb31f47-5933-5c0b-96a9-a7cab9768925,RCV-000000008,1,receipt,1896.0000,EA,1896.0000,2025-07-16T14:01:00+10:00,,false,,
1ad1e9e2-eff5-5b41-839f-ffeaf21b162f,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,169c8472-68ac-5f94-a83e-4407991dbbed,RCV-000000009,1,receipt,4800.0000,EA,4800.0000,2026-01-08T14:01:00+10:00,,true,,
aec569dd-051e-5af1-9b55-1bbfbb987ce6,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,a6f46d12-2805-52d3-813c-4a7419e40b54,RCV-000000010,1,receipt,117.0000,EA,117.0000,2024-10-31T14:01:00+10:00,,false,,
8a8fb412-e9cc-553e-bdd0-bf79fbe8449c,c169851f-18a3-51fb-a3fb-9af1d41a47ef,125bbdd1-36ce-5f61-836e-13fa1af040d9,6b9730b6-21eb-505f-a45d-9c57d3c86fc7,RCV-000000011,1,receipt,168.0000,EA,168.0000,2026-03-13T14:01:00+10:00,,true,9f7993a5-8e41-5a73-aebb-922cc38f1e39,split_schedule
