id,source_load_id,product_id,site_id,source_requirement_ref,requirement_version,requirement_type,required_date,required_quantity,corrects_requirement_id,demand_class,product_category,demand_shock_flag
2a71b742-5390-5007-aab4-286d66383d79,4aa2878d-7160-57a6-8595-bf7156857f7a,809cf264-7def-5354-9470-0a2384ba5a22,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,DEM-809cf264-7def-5354-9470-0a2384ba5a22-MEL-DC-1,1,firm,2026-07-07,185.0117,,X,components,false
1e78811a-975d-5bb0-bd53-ea197e91bc41,4aa2878d-7160-57a6-8595-bf7156857f7a,809cf264-7def-5354-9470-0a2384ba5a22,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,DEM-809cf264-7def-5354-9470-0a2384ba5a22-MEL-DC-2,1,forecast,2026-07-14,160.5760,,X,components,false
a7ef0883-e809-52ad-8fcd-58d221486cc0,4aa2878d-7160-57a6-8595-bf7156857f7a,809cf264-7def-5354-9470-0a2384ba5a22,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,DEM-809cf264-7def-5354-9470-0a2384ba5a22-MEL-DC-3,1,forecast,2026-07-21,129.1984,,X,components,false
ce06bdcb-e1df-5fd2-b51a-158ae8a51fa1,4aa2878d-7160-57a6-8595-bf7156857f7a,809cf264-7def-5354-9470-0a2384ba5a22,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,DEM-809cf264-7def-5354-9470-0a2384ba5a22-MEL-DC-4,1,forecast,2026-07-28,164.3116,,X,components,false
7b098bf1-f6c9-5c4f-885e-b1186e9d7001,4aa2878d-7160-57a6-8595-bf7156857f7a,809cf264-7def-5354-9470-0a2384ba5a22,cd80660b-3e07-58ef-88fb-4dfd4c14f755,DEM-809cf264-7def-5354-9470-0a2384ba5a22-GEEL-MFG-1,1,firm,2026-07-07,181.8127,,X,components,false
fd3a4c81-7a44-5d29-b58c-8bfa398f22c6,4aa2878d-7160-57a6-8595-bf7156857f7a,809cf264-7def-5354-9470-0a2384ba5a22,cd80660b-3e07-58ef-88fb-4dfd4c14f755,DEM-809cf264-7def-5354-9470-0a2384ba5a22-GEEL-MFG-2,1,forecast,2026-07-14,137.7772,,X,components,false
7ce61a2e-1497-56df-8a32-d728645697ad,4aa2878d-7160-57a6-8595-bf7156857f7a,809cf264-7def-5354-9470-0a2384ba5a22,cd80660b-3e07-58ef-88fb-4dfd4c14f755,DEM-809cf264-7def-5354-9470-0a2384ba5a22-GEEL-MFG-3,1,forecast,2026-07-21,123.8162,,X,components,false
671be7e8-f208-5a60-843b-a8383701ac4e,4aa2878d-7160-57a6-8595-bf7156857f7a,809cf264-7def-5354-9470-0a2384ba5a22,cd80660b-3e07-58ef-88fb-4dfd4c14f755,DEM-809cf264-7def-5354-9470-0a2384ba5a22-GEEL-MFG-4,1,forecast,2026-07-28,176.1085,,X,components,false
c3a712d2-015e-5c0a-9401-0fb431cf5c61,4aa2878d-7160-57a6-8595-bf7156857f7a,a7d6c9e4-45c8-576f-87b5-1b26791e19d6,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,DEM-a7d6c9e4-45c8-576f-87b5-1b26791e19d6-MEL-DC-1,1,firm,2026-07-07,109.5325,,X,resale_finished_goods,false
b9f5d51f-1b72-5a48-a05c-d83e3a680415,4aa2878d-7160-57a6-8595-bf7156857f7a,a7d6c9e4-45c8-576f-87b5-1b26791e19d6,83d1dcfc-cfa9-52c8-a5a3-cbb9679d5d59,DEM-a7d6c9e4-45c8-576f-87b5-1b26791e19d6-MEL-DC-2,1,forecast,2026-07-14,136.8959,,X,resale_finished_goods,false
