id,sku,synthetic_data_flag
809cf264-7def-5354-9470-0a2384ba5a22,SYN-SKU-00001,true
a7d6c9e4-45c8-576f-87b5-1b26791e19d6,SYN-SKU-00002,true
c893506d-df7e-55aa-9afa-b952b5e81a69,SYN-SKU-00003,true
fe8d9660-d333-56ab-a5ca-bb18ef310089,SYN-SKU-00004,true
83051d14-4fa3-53bd-ac60-523a406fc21f,SYN-SKU-00005,true
9de01ee7-8a99-53e4-9894-1eb2457782be,SYN-SKU-00006,true
0ddb5f45-3bf7-5460-a1dc-4b0097c4c8d6,SYN-SKU-00007,true
fadf08a0-1d4f-563b-bd91-b87b31f373eb,SYN-SKU-00008,true
f6f9c5be-111c-512f-b859-607b24323b36,SYN-SKU-00009,true
36da40b4-9e68-5588-9074-f6f8ee0422d2,SYN-SKU-00010,true
f3239f2c-2ddf-5cd9-8fe5-d2d009ee11fc,SYN-SKU-00011,true
0856837c-6661-582a-8826-9267d93a18a5,SYN-SKU-00012,true
381d75e6-fb26-5f96-9820-6bdce61f0879,SYN-SKU-00013,true
e6a7fc53-496a-5ae2-a882-4d4bf1223c4c,SYN-SKU-00014,true
bba8ffc9-9e7c-5b77-a53d-ae09beffb73b,SYN-SKU-00015,true
733a52f6-ddae-5ec5-a1d3-e06d5ca3460e,SYN-SKU-00016,true
ce149183-f698-5b38-9d6f-47394dafce45,SYN-SKU-00017,true
1f4d4772-a022-5cfc-a96e-04c7ad0d1a55,SYN-SKU-00018,true
b94cba32-e7de-5d7c-afea-23fba919ed21,SYN-SKU-00019,true
943fffff-3f21-52fd-a307-b259a6fef658,SYN-SKU-00020,true
f8133fbe-749f-5b84-a762-a62025fd96d1,SYN-SKU-00021,true
c3f298ca-9a69-574b-b887-cd9160b10d7e,SYN-SKU-00022,true
845990f3-480b-5068-96a7-56555c9bfded,SYN-SKU-00023,true
3d05cb9b-d5a0-53d8-84f5-a6128827eb81,SYN-SKU-00024,true
2bc50dec-b057-52d9-bb68-4422b67e6c08,SYN-SKU-00025,true
156f1b61-81f0-5bee-8acc-b26bfd4d94be,SYN-SKU-00026,true
3260e462-15f7-59e3-a229-c6e4260bb97a,SYN-SKU-00027,true
e7ae4d79-bd0e-5dd7-b736-930307e54235,SYN-SKU-00028,true
802e4010-8aa6-5fb1-bc87-5f2947921061,SYN-SKU-00029,true
1d765b5d-108b-588d-90bf-0a5f7c702f58,SYN-SKU-00030,true
73ffaed7-94be-55a5-afed-0d1e98f52b44,SYN-SKU-00031,true
26f9d7d6-f6e5-5f66-b038-c4074cf38cff,SYN-SKU-00032,true
258787f4-7c2c-53a6-b106-204498b26f2f,SYN-SKU-00033,true
13c36a28-138e-592b-89a5-f58427ce5201,SYN-SKU-00034,true
b57530b6-83a1-5572-a798-20246dda47c5,SYN-SKU-00035,true
23303b4e-f08b-5648-a6a2-f350ebc5143c,SYN-SKU-00036,true
fb68c10a-55c0-5d65-85fe-0d8330c7d0e5,SYN-SKU-00037,true
9b4cace9-899f-537b-b7be-bed7f160dcf2,SYN-SKU-00038,true
d4b300ac-9c19-5617-8775-15b2fd6ecff3,SYN-SKU-00039,true
5a2c36f8-ff5b-53d9-9352-fac73932d34f,SYN-SKU-00040,true
