id,supplier_code,synthetic_data_flag
b019f662-4041-56d7-947a-ad0e19cbf3e5,SYN-SUP-0001,true
f4263488-fb38-5a77-9b7d-bc1a9c185d5c,SYN-SUP-0002,true
69943b6b-c286-5006-bfa5-bce4290c448f,SYN-SUP-0003,true
bd21beb4-4051-594d-8000-d00192519578,SYN-SUP-0004,true
6ab50693-de7e-5ce4-a00c-1129c9838c2f,SYN-SUP-0005,true
c77963d8-1c44-520a-be00-9efc062d21d4,SYN-SUP-0006,true
4c9dd6bc-d4bf-53c9-872b-90b23ec8d5d5,SYN-SUP-0007,true
4bd49743-3f53-57b7-bbc5-6dab27206f37,SYN-SUP-0008,true
8da861a0-52e8-5625-b430-3a22414d79fb,SYN-SUP-0009,true
58bb201a-b67a-5aa2-81e1-29ab62d99704,SYN-SUP-0010,true
cc4ca321-02fa-50eb-8b86-5ba3c42b8ceb,SYN-SUP-0011,true
938a277e-f12b-5e70-8354-56b03a77ce45,SYN-SUP-0012,true
